Data as of,Start Date,End Date,State,County Name,Urban Rural Code,FIPS State,FIPS County,FIPS Code,Indicator,Total deaths,COVID-19 Deaths,Non-Hispanic White,Non-Hispanic Black,Non-Hispanic American Indian or Alaska Native,Non-Hispanic Asian,Non-Hispanic Native Hawaiian or Other Pacific Islander,Hispanic,Other,Urban Rural Description,Footnote
03/17/2021,01/01/2020,03/13/2021,AK,Anchorage Municipality,3,2,20,2020,Distribution of all-cause deaths (%),2662,182,0.578,0.046,0.212,0.057,0.029,0.033,0.046,Medium metro,
03/17/2021,01/01/2020,03/13/2021,AK,Anchorage Municipality,3,2,20,2020,Distribution of COVID-19 deaths (%),2662,182,0.319,,0.335,0.148,0.088,,,Medium metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,AK,Anchorage Municipality,3,2,20,2020,Distribution of population (%),2662,182,0.556,0.052,0.081,0.095,0.026,0.091,0.099,Medium metro,
03/17/2021,01/01/2020,03/13/2021,AL,Baldwin County,4,1,3,1003,Distribution of all-cause deaths (%),2806,240,0.901,0.079,,,,0.013,,Small metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,AL,Baldwin County,4,1,3,1003,Distribution of COVID-19 deaths (%),2806,240,0.858,0.117,,,,,,Small metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,AL,Baldwin County,4,1,3,1003,Distribution of population (%),2806,240,0.832,0.086,0.007,0.011,0.001,0.047,0.017,Small metro,
03/17/2021,01/01/2020,03/13/2021,AL,Calhoun County,4,1,15,1015,Distribution of all-cause deaths (%),2013,274,0.821,0.165,,,,0.008,,Small metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,AL,Calhoun County,4,1,15,1015,Distribution of COVID-19 deaths (%),2013,274,0.792,0.197,,,,,,Small metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,AL,Calhoun County,4,1,15,1015,Distribution of population (%),2013,274,0.716,0.21,0.004,0.009,0.001,0.041,0.019,Small metro,
03/17/2021,01/01/2020,03/13/2021,AL,Colbert County,4,1,33,1033,Distribution of all-cause deaths (%),896,161,0.811,0.176,,,,0.011,,Small metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,AL,Colbert County,4,1,33,1033,Distribution of COVID-19 deaths (%),896,161,0.789,0.161,,,,,,Small metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,AL,Colbert County,4,1,33,1033,Distribution of population (%),896,161,0.777,0.16,0.006,0.007,0.001,0.032,0.018,Small metro,
03/17/2021,01/01/2020,03/13/2021,AL,Cullman County,5,1,43,1043,Distribution of all-cause deaths (%),1442,203,0.979,0.008,,,,0.009,,Micropolitan,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,AL,Cullman County,5,1,43,1043,Distribution of COVID-19 deaths (%),1442,203,0.975,,,,,,,Micropolitan,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,AL,Cullman County,5,1,43,1043,Distribution of population (%),1442,203,0.916,0.012,0.006,0.007,0.001,0.045,0.013,Micropolitan,
03/17/2021,01/01/2020,03/13/2021,AL,Dallas County,5,1,47,1047,Distribution of all-cause deaths (%),655,109,0.35,0.647,,,,,,Micropolitan,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,AL,Dallas County,5,1,47,1047,Distribution of COVID-19 deaths (%),655,109,0.303,0.688,,,,,,Micropolitan,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,AL,Dallas County,5,1,47,1047,Distribution of population (%),655,109,0.27,0.703,0.002,0.004,0,0.012,0.009,Micropolitan,
03/17/2021,01/01/2020,03/13/2021,AL,DeKalb County,6,1,49,1049,Distribution of all-cause deaths (%),934,105,0.967,0.016,,,,0.013,,Noncore,Data based on counts less than 10 suppressed
